Province	Abbreviation	SummaryDate	TotalCases	DailyTotals	TotalRecovered	DailyRecovered	TotalDeaths	DailyDeaths	TotalTested	DailyTested	TotalActive	DailyActive	TotalHospitalized	DailyHospitalized	TotalICU	DailyICU	TotalVaccinated	DailyVaccinated	TotalDose1	DailyDose1	TotalDose2	DailyDose2	TotalBooster	DailyBooster
QUEBEC	QC	08/02/2020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PEI	PE	08/02/2020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ONTARIO	ON	08/02/2020	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
NWT	NT	08/02/2020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NUNAVUT	NU	08/02/2020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NOVA SCOTIA	NS	08/02/2020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NL	NL	08/02/2020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NEW BRUNSWICK	NB	08/02/2020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MANITOBA	MB	08/02/2020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BC	BC	08/02/2020	4	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
ALBERTA	AB	08/02/2020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SASKATCHEWAN	SK	09/02/2020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
REPATRIATED	RC	09/02/2020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
